nohup: ignoring input
/home/asc23/lcy/gnn/TCS/layer.py:14: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  timestamps_tensors = [torch.tensor(timestamps).float() for timestamps in timestamps_list]
edge_index shape: torch.Size([2, 119670])
edge_attr shape: torch.Size([119670, 1])
successfully read graph
successfully split graph
begin to train
Epoch 27, Loss: 0.1631
Epoch 28, Loss: 0.0895
Epoch 29, Loss: 0.0937
Epoch 30, Loss: 0.0709
Epoch 31, Loss: 0.0702
Epoch 32, Loss: 0.0121
Epoch 33, Loss: 0.3036
Epoch 34, Loss: 0.0671
Epoch 35, Loss: 0.3797
Epoch 36, Loss: 0.1356
Epoch 37, Loss: 0.0984
Epoch 38, Loss: 0.2643
Epoch 39, Loss: 0.0691
Epoch 40, Loss: 0.0777
Epoch 41, Loss: 0.0727
Epoch 42, Loss: 0.0124
Epoch 43, Loss: 0.1795
Epoch 44, Loss: 0.1047
Epoch 45, Loss: 0.1362
Epoch 46, Loss: 0.2894
Epoch 47, Loss: 0.0124
Epoch 48, Loss: 0.0124
Epoch 49, Loss: 0.3181
社区的时间割 TC(S): 0.8857
社区的时间密度 TD(S): 0.3333
社区节点数: 4, 邻居节点数: 4, 社区节点占比: 0.87%
Epoch 50, Loss: 0.1068
Epoch 1, Loss: 0.0083
Epoch 2, Loss: 0.0119
Epoch 3, Loss: 0.0116
Epoch 4, Loss: 0.0083
Epoch 5, Loss: 0.0139
Epoch 6, Loss: 0.0119
Epoch 7, Loss: 0.0139
Epoch 8, Loss: 0.0108
Epoch 9, Loss: 0.0102
Epoch 10, Loss: 0.0119
Epoch 11, Loss: 0.0119
Epoch 12, Loss: 0.0116
Epoch 13, Loss: 0.0083
Epoch 14, Loss: 0.0102
Epoch 15, Loss: 0.0083
Epoch 16, Loss: 0.0119
Epoch 17, Loss: 0.0083
Epoch 18, Loss: 0.0083
Epoch 19, Loss: 0.0083
Epoch 20, Loss: 0.0119
Epoch 21, Loss: 0.0116
Epoch 22, Loss: 0.0083
Epoch 23, Loss: 0.0118
Epoch 24, Loss: 0.0133
Epoch 25, Loss: 0.0116
Epoch 26, Loss: 0.0139
Epoch 27, Loss: 0.0119
Epoch 28, Loss: 0.0083
Epoch 29, Loss: 0.0116
Epoch 30, Loss: 0.0116
Epoch 31, Loss: 0.0083
Epoch 32, Loss: 0.0102
Epoch 33, Loss: 0.0083
Epoch 34, Loss: 0.0119
Epoch 35, Loss: 0.0083
Epoch 36, Loss: 0.0119
Epoch 37, Loss: 0.0117
Epoch 38, Loss: 0.0102
Epoch 39, Loss: 0.0102
Epoch 40, Loss: 0.0119
Epoch 41, Loss: 0.0116
Epoch 42, Loss: 0.0102
Epoch 43, Loss: 0.0083
Epoch 44, Loss: 0.0083
Epoch 45, Loss: 0.0083
Epoch 46, Loss: 0.0119
Epoch 47, Loss: 0.0100
Epoch 48, Loss: 0.0083
Epoch 49, Loss: 0.0083
社区的时间割 TC(S): 0.0000
社区的时间密度 TD(S): 0.0000
社区节点数: 0, 邻居节点数: 5, 社区节点占比: 0.00%
Epoch 50, Loss: 0.0083
Epoch 1, Loss: 0.0112
Epoch 2, Loss: 0.1481
Epoch 3, Loss: 0.1101
Epoch 4, Loss: 0.0119
Epoch 5, Loss: 0.0027
Epoch 6, Loss: 0.3378
Epoch 7, Loss: 0.3378
Epoch 8, Loss: 0.2271
Epoch 9, Loss: 0.0083
Epoch 10, Loss: 0.3378
Epoch 11, Loss: 0.0110
Epoch 12, Loss: 0.0110
Epoch 13, Loss: 0.2940
Epoch 14, Loss: 0.5113
Epoch 15, Loss: 0.2726
Epoch 16, Loss: 0.0100
Epoch 17, Loss: 0.2477
Epoch 18, Loss: 0.2572
Epoch 19, Loss: 0.2244
Epoch 20, Loss: 0.5113
Epoch 21, Loss: 0.2378
Epoch 22, Loss: 0.0114
Epoch 23, Loss: 0.2581
Epoch 24, Loss: 0.1346
Epoch 25, Loss: 0.3428
Epoch 26, Loss: 0.0110
Epoch 27, Loss: 0.0121
Epoch 28, Loss: 0.2605
Epoch 29, Loss: 0.0087
Epoch 30, Loss: 0.2153
Epoch 31, Loss: 0.5084
Epoch 32, Loss: 0.2580
Epoch 33, Loss: 0.2271
Epoch 34, Loss: 0.0087
Epoch 35, Loss: 0.0488
Epoch 36, Loss: 0.2244
Epoch 37, Loss: 0.0087
Epoch 38, Loss: 0.3820
Epoch 39, Loss: 0.3378
Epoch 40, Loss: 0.2368
Epoch 41, Loss: 0.2624
Epoch 42, Loss: 0.3247
Epoch 43, Loss: 0.2271
Epoch 44, Loss: 0.0032
Epoch 45, Loss: 0.2752
Epoch 46, Loss: 0.0100
Epoch 47, Loss: 0.0064
Epoch 48, Loss: 0.0114
Epoch 49, Loss: 0.1761
社区的时间割 TC(S): 0.9400
社区的时间密度 TD(S): 2.0000
社区节点数: 2, 邻居节点数: 2, 社区节点占比: 0.68%
Epoch 50, Loss: 0.5075
